market_hash_name,currency,min_price,max_price,mean_price,median_price,quantity_sold,source,scraped_at
M4A1-S | Glitched Paint (Field-Tested),USD,3.05,3.05,3.05,3.05,814,steam_market,2026-04-27T09:43:49.012799+00:00
StatTrak™ AUG | Luxe Trim (Field-Tested),USD,0.59,0.59,0.59,0.59,181,steam_market,2026-04-27T09:43:49.012803+00:00
AUG | Steel Sentinel (Field-Tested),USD,0.15,0.15,0.15,0.15,1053,steam_market,2026-04-27T09:43:49.012805+00:00
Galil AR | Tuxedo (Minimal Wear),USD,2.57,2.57,2.57,2.57,328,steam_market,2026-04-27T09:43:49.012808+00:00
M4A4 | Zubastick (Factory New),USD,2.31,2.31,2.31,2.31,183,steam_market,2026-04-27T09:43:49.012810+00:00
M4A4 | Naval Shred Camo (Minimal Wear),USD,0.16,0.16,0.16,0.16,5279,steam_market,2026-04-27T09:43:49.012813+00:00
SG 553 | Army Sheen (Minimal Wear),USD,0.05,0.05,0.05,0.05,5107,steam_market,2026-04-27T09:43:49.012816+00:00
AK-47 | Wintergreen (Well-Worn),USD,2.14,2.14,2.14,2.14,482,steam_market,2026-04-27T09:43:49.012818+00:00
Galil AR | Cold Fusion (Minimal Wear),USD,0.21,0.21,0.21,0.21,735,steam_market,2026-04-27T09:43:49.012820+00:00
M4A1-S | Mud-Spec (Minimal Wear),USD,2.09,2.09,2.09,2.09,170,steam_market,2026-04-27T09:43:51.610984+00:00
AK-47 | VariCamo Grey (Well-Worn),USD,0.47,0.47,0.47,0.47,950,steam_market,2026-04-27T09:43:51.611004+00:00
M4A4 | Magnesium (Minimal Wear),USD,1.51,1.51,1.51,1.51,413,steam_market,2026-04-27T09:43:51.611007+00:00
M4A4 | Naval Shred Camo (Factory New),USD,0.73,0.73,0.73,0.73,620,steam_market,2026-04-27T09:43:51.611009+00:00
AUG | Sweeper (Factory New),USD,0.19,0.19,0.19,0.19,3488,steam_market,2026-04-27T09:43:51.611012+00:00
